	SM001	SM002	SM003	SM004	SM005	SM006	SM007	SM009	SM010	SM011	SM014	SM015	SM016	SM020	SM021	SM022	SM023	SM024	SM025	SM027	SM030	SM031	SM032	SM039	SM040	SM041	SM042	SM043	SM044	SM045	SM046	SM050	SM054	SM055	SM056	SM057	SM058	SM059	SM061	SM062	SM063	SM064	SM065	SM067	SM069	SM070	SM071	SM072	SM073	SM074	SM075	SM076	SM077	SM078	SM080	SM081	SM082	SM083	SM084	SM085	SM087	SM088	SM089	SM091	SM092	SM093	SM094	SM097	SM098	SM099	SM103	SM105	SM110	SM112	SM116	SM124	SM125	SM126	SM127	SM129	SM130	SM131	SM132	SM133	SM134	SM135	SM136	SM137	SM139	SM140	SM141	SM142	SM143	SM144	SM145	SM146	SM147	SM150	SM151	SM152	SM153	SM154	SM155	SM156	SM157	SM158	SM159	SM160	SM162	SM164	SM165	SM166	SM167	SM168	SM169	SM170	SM173	SM174	SM176	SM177	SM179	SM180	SM181	SM182	SM183	SM184	SM185	SM186	SM187	SM188	SM189	SM193	SM194	SM196	SM197	SM198	SM199	SM200
Contig4028_x_at	36.3	998.7	1358	648.6	777	554.1	527.4	101.5	494.8	486.1	60.6	1415.6	77.6	30	474	26.3	454	49.7	38.6	33	29.2	1449.2	37.3	22.2	38.5	17.9	767.9	24.9	54.2	43.5	583	814.4	875.9	53.2	439	56	1420.7	24	1252.8	41	26.8	1109.3	1153.5	152.7	65.2	336.1	33.4	24.4	12.1	23.2	644.1	481	42.3	592.3	41.6	414.6	748.9	61.1	481.4	681.2	798.5	66.3	25.7	677.8	1348.3	585.7	1286.1	31.4	1244.8	530.2	93.4	46.4	39.1	992.8	705.4	30.8	681	79.1	23.9	35.7	644.5	659.6	30.3	61.1	21.1	765.1	13.8	17.6	18.1	20.1	42.9	25.9	551.8	31.8	33.8	23.4	43.7	883.4	496.6	30.9	30.7	53.8	888.7	647.5	552.1	55.1	44.2	607.3	65.6	760.3	468.3	437.3	463.6	58.1	27	488.5	684.3	371.5	53	722.4	53.5	661.4	556.9	513.6	603.3	503.3	516.7	911	64.6	30.4	419.5	78.3	335.2	733.3	1166	1495.4	643.9	519.8
Contig431_at	92	111	140.4	171.3	49.1	122.6	119.6	74.4	146.5	101.5	65.7	175.4	81.1	69	132.3	19.3	74.1	49.7	89.7	115.2	58.9	136.9	44	68.2	65.7	92.7	77	72.3	93	67.9	72.1	51.1	126.1	60.3	102.4	48.2	166.4	51.4	107.6	49.7	60.3	96.2	147.9	70.6	168.2	43.1	56.6	94.1	102.1	78.2	104.9	80.4	92.9	99.2	33	82.8	134.8	51	79.2	96.2	144.4	109.1	42.3	105.6	161.9	66.7	90.2	123.4	152.3	94.1	83.4	96	125.9	97.1	94.4	56	136.9	112.8	149.5	74.4	207.6	124.9	27.3	86.7	64.8	72.4	29.3	81.7	65.2	53.2	35.2	210.6	98.4	89.6	93.1	69.8	51.3	134.4	159.4	37.6	81.6	36.5	75.8	126.1	86.3	202.1	52.1	68.3	42.9	125	82.5	67.4	95	45.1	84.5	154.1	113.4	163.5	88.6	113.9	40.4	122.1	219.6	78	96.3	90.6	73.1	102.1	97	119.6	105.6	103.1	113.2	127.7	167.1	140.2	103.3	122.9
Contig5613_at	647.2	1239.6	1355	1681.8	542.6	1055.7	905.7	689.2	1223.4	1230.8	635.8	1154.9	292.6	416.1	863.4	333	553.1	565.2	659	553.7	616.8	1383.2	541.7	633.3	394.8	657.1	1112.8	526.9	810.8	364.7	675.4	891.9	983.9	408.3	597.1	608.6	1245.9	275.9	1001.9	342.6	473.5	485.5	1124.9	755.2	731.9	623.6	485.6	780.9	502.6	598.1	881.2	1041.9	474.7	662.2	298.9	887.5	1027.2	698.4	807	810	1070.4	368.8	397.5	1189.6	1418.7	876.7	940.9	586.2	830.3	869.6	367.5	517.1	595.9	765.8	799.4	655.8	1249.7	617.5	672.6	278.9	1413.3	1051.4	243.4	598.2	346.6	876.7	461.5	519	560.8	614.2	594.5	1063.4	781.7	717.2	934.6	477.1	625.6	1127	662.9	273.9	530.4	506.7	580.4	1133.4	583.1	846	299	983	483.9	921.3	572.4	780.9	847.7	538.7	416.8	883.7	849.3	720.6	407.1	596.6	666	688.6	592.2	616.9	767.2	870.5	1032.8	1048.8	407.9	749.7	702.3	641.9	738.1	1228.8	1642.7	918.5	713.9	1218.1
Contig5614_s_at	1435.4	2483.4	2504.4	741.9	893.5	841.5	1929.6	1001.6	2134.1	1593.9	490.7	849.2	428	552.6	1217.1	586.8	1514.9	658.6	568.8	644.4	705	2138.9	762.3	538.2	343.7	747	1598.4	771.3	1455.1	400.3	1403.4	2051.2	2916.9	390.5	1325	899.2	1599.1	534.7	1457	566.8	458.5	1350.6	1947.2	870.3	1169	1027	675.1	958	453	662.7	1707	908.4	544.4	1208.8	367.8	460.6	2069	793.6	741.4	2084.7	2291.8	392.5	600	1608.4	1895.8	948.4	1870.5	666.6	1344.5	923.7	544.6	493.9	423.1	1757.8	1635.2	752.4	1162.8	1043.9	664.2	323.2	2679.8	634.6	241.5	395.9	448.9	1856.8	400.3	634.4	589.7	394.3	485.4	962.6	1140	732.8	1330.5	404	479.4	2280.6	595.7	493.4	517.1	607.2	1075.2	2052	1028.9	1798.6	353.1	1738.8	594.5	1357.4	802.8	949.2	926	533.3	315.2	1979.4	1379	993.7	734.9	1704.9	494.9	942.2	939.7	1162	914.5	1703.8	948.9	1524.4	656.6	886.7	1276.3	693.5	352	828.6	1885.6	2723.2	1763.5	1418.2
Contig6931_at	339.6	642.6	511.5	518.8	397.1	294.4	458.3	471.5	695.7	473.4	306.5	498.1	473.3	328.9	398.9	201.1	435	273.7	342	275.9	275.9	359.7	325.2	206.8	292	265.2	346.2	269	316.7	307.3	248.1	638.1	529.6	210.1	351.4	238.6	491.3	185.3	529.2	233.8	239.7	381.1	523.2	274.7	346.1	312.8	401.6	414.1	393.6	505.8	324.2	372	261.7	528.3	177	251.5	415.7	319.5	443.6	331.4	376.4	337.8	162.4	464.6	416.7	276.9	347.9	482.1	458.1	293.7	239.9	380	260.7	362	336.7	205.6	428.9	672.6	292.9	296.7	446.8	360.8	144.6	252.6	273.4	368.9	175.9	236.3	391.6	291.7	202.3	344.4	371.3	251.3	202.3	184.3	194.5	411.3	397.3	200.5	369.4	197.6	361.1	374.4	372	566.6	323.9	329.1	286.8	364.4	258.6	341	461	216.7	171.3	341.9	306.2	315.3	212.9	338.4	257.9	572.5	443.3	274.6	396.3	384.2	347.4	438.2	358.3	265.5	425.4	276.1	404.9	539.3	579.8	631	364	409.8
Contig9479_s_at	2.8	101.3	107.5	133.5	45.4	77.7	113.7	42.4	93.9	82	3.9	129	7.5	4.3	94	1.5	55.3	3	3.5	3.4	4.6	72.6	9.7	2.9	3.5	74.5	70.2	4.4	16.9	4.1	38.3	54.6	105	1.9	90	40.1	107	12.1	168.6	4.8	4.5	58.4	73.8	15.4	21.6	10.9	3.4	21.1	4.4	5	75	78	5.7	111.2	2.3	23.8	126.5	14.9	82.9	66	104.3	4.6	1.9	91.5	88.3	53.4	68.9	4.4	87.4	86.8	1.9	5.4	2.5	50.1	83	2.4	69.1	101.8	104.3	2.9	109.4	86	1.4	3.6	5.9	41.9	2.7	13.6	1.6	2.3	7.8	129.9	101.9	3.4	3.8	2.8	1.5	48	48.6	8.9	3	28.2	63.2	74.9	52	9.9	3	41	7.7	78.2	52.6	55.3	62.1	4.7	4.9	89.7	76.8	74.1	2.2	62.5	1.9	95	40.9	58.9	69.9	75.6	87.3	78.8	2.9	2.6	91.4	14.3	65.6	134.9	139.5	76.1	89.5	69.8
EBro03_SQ007_M15_at	27.2	123	134.4	119.1	81.3	81.2	87	29.7	129.9	76.5	27.9	126.4	21.9	20.6	85.9	19.7	71.1	15.1	11.9	24	17.8	71.5	23	36.3	15.9	59.7	82.1	17.2	35.2	21.7	52.9	68.8	97.8	2.6	65.8	29.9	113.1	8.6	110.8	39.4	19.8	88.7	86.7	25.9	16.4	16.2	4.8	30.9	10	39.2	79.4	60.8	11.3	121.2	21.5	66.3	119.6	28.2	79.1	76.5	88.2	17.3	12.2	94.3	114.5	58.8	86.7	22.2	86.1	68.6	31.4	14.2	18.5	74.9	72.4	18.5	90.2	122.6	25.7	22.3	128.1	96.8	16.1	21.3	23	82.7	10	27.4	20.8	13.4	21.3	16.5	51.8	16.9	15.6	23.2	10.6	86	63.6	14.4	19.2	29.4	102.8	105.8	87.9	21.1	23.6	71.3	17.6	104.8	61.4	67.5	84.8	23.8	14.4	92.8	58.9	98.6	15.3	76.2	17.7	112.1	109.3	50.9	86.5	93.8	78.3	128.3	20.6	25.1	69.2	30.7	86.7	79	117.7	139.8	93.1	100.3
EBro03_SQ007_M15_s_at	47	129.9	96.6	91.9	60.4	73.2	79.4	92	113.3	88.3	60.8	97	67.9	76.1	92.6	41.2	78.6	56.9	65.3	81.8	47.3	77.3	63.2	74.1	44.6	59.4	62.2	68.7	69.4	61.7	52.7	86.7	74.4	35.8	64.6	65.4	141.4	37.1	107.1	47.5	61.4	80.4	94.8	82.9	71.7	40.2	60.1	63.6	84.4	75.5	71.8	72.7	46.8	95	29.9	63.5	106.5	53.6	83.2	60.4	75.9	72.1	34	85.6	96.5	52.5	72.7	82.4	90.5	75.2	61.7	66.2	84.3	78.9	85.8	43.7	82	123.3	82.3	50.3	104.3	95.1	32.6	86.1	63.7	80.6	50.4	75.2	62	36.5	43.2	93.5	66.5	69.7	62.8	32.6	44	102.6	80.9	34.1	76.6	57.9	70.9	91.1	76.6	114.4	66.1	66.8	44.2	66.5	44.3	47.9	95.2	54.6	54.4	82.6	71.3	75.9	43.9	65.3	46.7	108	99.1	43.1	74.7	89.9	75.8	106.6	54.4	55.9	82.1	55.9	96.2	72.6	126.5	117.6	75.5	78.6
HA22C01r_s_at	2881.4	6271.1	5180.6	5918.2	3225.4	4864.8	4454.3	4496.2	4761	4914.5	2596.5	5297.1	2243.4	2806.9	3939.7	2173.1	4280.8	3650.1	3317.5	3209.6	2584.1	5454.3	2331.8	2634.3	2299.3	3309.2	3872.1	2889.4	3858.3	2434.6	4151.9	3642.2	4279.4	1841.1	3160.4	3761.7	5540.2	1786.1	4522.8	2985.3	2861.4	4164.6	4811.9	3328.3	2906.1	1735.2	3082.5	3093	3227.3	3458.1	3956.7	4082.6	2407	3484.6	1654.6	2993.5	3514.6	3111.2	4666	3852.7	3589.3	2199.2	1631.2	4707	5922.6	3161.9	4883	3697.9	3370.2	3984.3	3500.1	3021.3	2483.4	3025.5	3864.6	2232.1	5455.3	5085.4	2979.8	1400.7	4764.8	3957.3	1418.2	2731.1	1681.7	4562.7	2286	3307.7	2683.6	2202.1	1936.4	5870.3	2902.3	3037	3149	1692.1	2103.5	5403.2	3876.1	2136.3	2410.8	2214.6	3229.2	3892.8	3222.1	4073.3	2188.2	4202.9	2018.8	4308.6	2012.7	3430.5	4051.3	2989.5	1743.9	4175.8	3984.2	3150.8	2054.4	3639.9	1795.6	3728.2	3891	2994.2	3893.8	4564.8	4910.3	4588.5	1604.9	3254	4370.6	2581.5	4405.1	5058.1	4226	4962.8	4422	4325.1
HF06I04r_x_at	4.7	20.3	155.2	50.6	75	51.1	31.3	19.8	48.2	55.5	29.5	162.7	10.2	6.2	12.9	4	57.4	38.4	18.3	7.2	15.9	102	4.2	24.4	17.4	6.7	32.3	27.4	10.9	7.1	15.3	24.5	121.6	26.8	10.1	37.2	125.1	2.5	131.4	4.8	26.7	86	87.3	9.6	13.8	41.6	5.7	8.8	15.5	16.1	4.8	15.3	7.7	47.5	5.4	8.6	46.9	7.7	13.5	40.7	123.1	11.6	24.8	100.1	113.4	52.3	95.1	6.7	97.3	43.8	39.4	39.5	4.8	50	13.9	4.1	60.7	9.3	8	6.9	18.6	11.3	6.4	4.1	5.1	40.3	3.7	7.1	10.7	13.2	5.7	10	60.5	23.3	3.2	5.1	4	111.4	12.9	5	6.8	12.2	13.6	37.1	60	9.8	8.8	21.5	3.7	83.8	11.7	19.7	68.4	7.7	3.3	52.9	96.5	11.3	6.2	46	7.4	96.6	80	53.8	24.2	38.4	70	72	5.5	33.7	68.1	51.4	9.6	61.7	33.1	91.2	70.8	10
