""	"SM001"	"SM002"	"SM003"	"SM004"	"SM005"	"SM006"	"SM007"	"SM009"	"SM010"	"SM011"	"SM014"	"SM015"	"SM016"	"SM020"	"SM021"	"SM022"	"SM023"	"SM024"	"SM025"	"SM027"	"SM030"	"SM031"	"SM032"	"SM039"	"SM040"	"SM041"	"SM042"	"SM043"	"SM044"	"SM045"	"SM046"	"SM050"	"SM054"	"SM055"	"SM056"	"SM057"	"SM058"	"SM059"	"SM061"	"SM062"	"SM063"	"SM064"	"SM065"	"SM067"	"SM069"	"SM070"	"SM071"	"SM072"	"SM073"	"SM074"	"SM075"	"SM076"	"SM077"	"SM078"	"SM080"	"SM081"	"SM082"	"SM083"	"SM084"	"SM085"	"SM087"	"SM088"	"SM089"	"SM091"	"SM092"	"SM093"	"SM094"	"SM097"	"SM098"	"SM099"	"SM103"	"SM105"	"SM110"	"SM112"	"SM116"	"SM124"	"SM125"	"SM126"	"SM127"	"SM129"	"SM130"	"SM131"	"SM132"	"SM133"	"SM134"	"SM135"	"SM136"	"SM137"	"SM139"	"SM140"	"SM141"	"SM142"	"SM143"	"SM144"	"SM145"	"SM146"	"SM147"	"SM150"	"SM151"	"SM152"	"SM153"	"SM154"	"SM155"	"SM156"	"SM157"	"SM158"	"SM159"	"SM160"	"SM162"	"SM164"	"SM165"	"SM166"	"SM167"	"SM168"	"SM169"	"SM170"	"SM173"	"SM174"	"SM176"	"SM177"	"SM179"	"SM180"	"SM181"	"SM182"	"SM183"	"SM184"	"SM185"	"SM186"	"SM187"	"SM188"	"SM189"	"SM193"	"SM194"	"SM196"	"SM197"	"SM198"	"SM199"	"SM200"
"Contig6347_at"	1703.1	3007.2	2063.5	2361.9	1299.5	1651.4	106.9	47.9	1716.6	2223.6	36.1	45.7	1897.4	35.9	1497.6	45.6	1437.2	53.9	2037.8	113.6	1727.1	59.4	46	6.4	2.9	9.9	1645.4	56.2	76.7	13.5	4.3	1703.8	1423.6	1684	1526.6	2035	2245	2.3	1809.8	97.9	17.9	1312	1847.6	1848.3	146.4	1470.4	1771.5	73.3	4.5	53.7	45.1	1301.3	22.2	1439.8	85.5	1321.5	1408.5	7.1	1889	1707.4	1401.4	1576.6	1372.9	1932.4	2504.7	1511	1977.6	34.2	75.6	102.6	1598.5	2219.4	44	1252.7	1695.4	86.1	1888.1	115.8	60.6	29.8	2069.7	1432.2	67.1	42.8	1450.4	1615.7	53	1954.2	23.8	29.3	54.7	45.6	1340.4	91.7	74.5	1496.1	60.3	1983.7	2012.5	1591.7	60.9	44.6	1312.3	1711.6	1284.8	6.3	55.9	1482.9	52.9	92.1	1245.1	1384	1676.2	81.9	3.1	1705.9	1554.5	1335.6	49.3	1511.2	91.3	1555.2	1933.5	1175.3	1831.5	96.7	3.7	1831.3	129.5	96.9	1959.3	85.1	46.8	1963.3	1734.1	111.9	1908.7	1785
"Contig7592_at"	752	1546.2	1291.3	1460.8	850.1	1122.1	753.5	1104	1263.6	1296.2	849.4	962.8	1131.7	758.4	923	487.2	873	966.7	1150.3	900.9	789.6	861.2	703	973.6	689.6	649.3	915.7	1064.4	971.7	643.1	601.6	772.7	902.2	697.5	1016.2	947.9	1379	598.6	1328.4	757.5	763	832.8	1056.1	1155.2	968.6	932.1	1143.6	952	940.3	1004.9	761.2	890.4	918.1	1246.6	642.1	634.2	989	792.2	1086	830.1	817.5	583.5	720.3	1132.9	1464.2	877.4	1137	990.8	852.4	1176.6	878.3	1283.6	795.3	851.4	912.9	842	1089.3	954.9	907.4	775.1	1177.7	926.8	543.1	869.1	806.3	681.6	576.5	1144.1	834.7	686.2	681.3	1174.4	753.8	813.4	891.9	875.1	756.6	1020.9	1093.3	902.9	877.2	520.1	639.6	1005	723.8	1188.9	650	1004.9	645.3	983.1	767.4	836.3	1062.1	879.7	877.3	861.2	1062.1	667.1	716.9	831	775.9	945.9	830.1	710.3	1070.7	689.4	1206	1086.1	672	948.6	1051.6	605.5	1013.3	1296.4	1047.5	1285.9	1002.1	964.2
"Contig8249_at"	141.5	229.7	187.5	245.5	124.2	158.7	99.6	130.6	175	240.9	130.3	158.7	195.2	114.4	131.4	66.2	113.2	168.4	208.9	142.1	124.1	131.5	107.2	94.6	82.4	57.3	148.2	114.3	117.7	77.3	59.8	123.4	148.8	88.7	129.6	169.1	209.5	108.2	222.3	88	59.9	191	158.7	188.2	136.5	237.5	154.7	100.4	80.1	155	119.1	132.4	114.7	184	112.9	126.9	189.9	78.4	143.5	183.8	175.8	211.4	118.2	189.2	224.8	166.8	189.8	141	167.5	213.7	165.4	205.3	144.9	129.7	137	109.4	208.6	130.5	127.7	77.5	183.7	154.4	87.4	103.2	132.7	92.8	99.3	201.4	95.4	90.2	116.4	180	130.2	131.2	135.2	129.3	104.6	157.3	166.7	171.7	149.5	97	130.8	178	149.6	178.7	113.1	146.6	102.6	151.7	117.9	164.2	172.6	125.5	103.4	138.4	135.5	108.4	105.2	146.6	105.6	148.2	144.3	96.3	126.5	81.3	187.2	178.6	87.1	103.4	140.5	78.6	155	177.8	174.7	158.6	158.5	163.1
"Contig9996_at"	757.3	1220.5	1063.1	960.8	627.2	656.7	143.3	268.3	1000.2	652.8	179.4	167.6	737.9	192.9	740.7	110	554.4	168.9	830.5	138.9	810.8	147.6	118.6	172.8	124.9	87.8	682.1	149.8	165	141	100.4	748.8	638	732.2	666.6	1003.8	947.4	90.3	931.5	127.5	165.4	700.4	837.9	994.2	183.2	613.3	1022.5	160.4	164.6	149.1	178.6	563.2	118.1	885.8	88.5	414.9	921.5	175.1	782.8	676.1	619.5	653.8	491.1	1013.4	965.7	592.1	861.9	166.7	132	170.7	844.8	964.3	142.9	661.6	699.3	117.4	733.5	158.7	181.9	78.5	987.3	763.7	81	152.4	608.7	860.1	119.1	985.2	144.5	105.3	94.3	261.9	495.6	132.2	167.6	499.8	114.1	916.7	780.1	701.5	114.4	113.3	611.7	731.7	515.6	201	122.4	574.7	105	135.1	421.4	618.2	693.4	139.6	91.1	857	611.6	671.6	123.3	668.3	623	825.1	882.4	574.5	634.8	179.7	144.8	670.3	103.6	175	675.4	178.6	127.4	870	954.4	187.3	800	866.3
"HA03A06u_at"	54.7	94.5	147.2	66.9	42.7	61	31.8	54.5	77.2	79.4	36.3	46.3	98.4	38.4	77.6	26.8	102.2	39	95.2	41.7	48.7	24.5	39.1	44.7	42.2	29.5	76	20.4	33.4	47.1	27.6	113.9	66.3	51.4	78.1	78.8	88.3	27.6	100.8	37.6	39.3	52.9	83.3	81.7	57.4	47.3	94	54.8	61.2	53.5	22.4	46	33.3	93.9	13.3	38.9	65.7	44.4	37.6	48.7	61.8	66.4	28.3	78.1	74	58.5	71.4	55.8	78.8	49.9	73.5	139.3	49	62.3	70.7	16.7	50.5	38.6	53.4	27.9	99.4	97.8	24	48.9	57.7	54.5	34.4	50.1	35.8	22.4	23.3	53.9	59.6	37.6	32.2	33.2	29.1	77.5	77.2	98.4	36.3	52.9	67.9	57.7	65	86	54.3	69.5	32.1	33.9	47.4	48.8	74.9	62	36.5	76.6	75.2	92.8	35.4	58.2	24.2	105	112.7	39.3	32.4	52.3	56.8	97.2	41.1	40.5	50.6	36.9	40.7	82.3	83.9	55.5	57.2	58.3
"HS16G07u_at"	87.1	105.5	95.8	99.7	89	53.3	3.8	18	85.5	103.5	11.8	16.4	81.3	25.1	67.4	19	62.6	24.9	76.1	26.2	69.2	18.6	2.4	20.4	3	6.6	65.6	27.7	30.5	25.7	2.9	73.2	88.4	63.3	45.9	73	68.2	10.8	97.1	5.2	3.7	76.5	58	87.4	14.4	68.8	77.3	6.2	16.2	5.6	10.1	44.6	3.2	100.1	25.7	67.5	81.6	4.7	54.5	67.2	57.5	74.8	57.6	74.8	99.5	46.3	77.9	10.3	64.1	13.2	100.9	59.1	5.8	45.7	76.5	14.5	56.5	19.9	29.3	34.8	97.5	50.7	10.4	8.1	54.1	9.7	8.4	50.9	9.5	3.2	2.8	26.9	45.1	8.5	4.7	53.3	3.5	61.4	67.1	72.2	11.4	2.7	52.2	73.1	68.6	6.2	24.9	54.5	2	15.1	38.4	68.3	59.1	36.1	2.8	66	78.7	43.7	18.7	46.2	11.8	59.9	123.8	45.2	30.7	17.8	78.2	95.5	24.1	26.3	69.5	9.7	59.4	66.5	79.2	24	62.4	82.7
"HU11J20u_at"	2.7	77.1	85	77.1	32.3	28.1	9.4	2.3	51.9	46.8	4.7	2.1	52.3	1.8	49.9	4.1	37.4	2.3	54.2	18.4	6.2	1.9	2.3	2.9	6.2	10.5	45.1	3.3	5.4	2	1.5	48	39.9	0.8	24.3	2.9	31.2	2.8	66	17.9	1.3	51.5	49.8	76.6	6.3	33.7	41.3	3.1	2	1.9	2	22.4	9.2	52.2	1.8	25.9	41.5	2.2	45.3	42.4	29.3	67.3	22.9	67	57.9	32.2	58.8	1.8	35	34.9	54.2	111.4	3.7	38.8	54.9	1	42.8	8.5	3.5	1.7	57.2	39.1	4.1	11.9	21.1	1.5	1.5	61	1.6	1.3	1.8	9.9	40.5	3	2.2	40.2	3.2	49.8	69.9	27.4	1.3	1.1	44.3	74.9	50.1	2.3	8.5	38.7	4.8	36.6	16.8	38.7	39.8	1.8	24.5	59.5	34.6	40	2.8	45.8	3.5	78.6	56.6	24.2	46.3	1.6	49.2	64.6	5.6	2.7	44.5	3.4	46.6	36.1	73.3	2.8	35.8	39.2
"HVSMEa0002K15r2_s_at"	1263.4	1912.5	1819.8	1630.3	1346.8	1254.7	1145.1	1549.7	1526.7	1420.8	1051.9	1248.9	1406.4	1247.5	1296	804.9	1355	1349.6	1695.3	1191.3	1577.8	1119.8	813.2	1144.2	1042.5	687.3	1156	1059.9	1191.6	721	1012.2	1311.2	1432.1	1399.8	1275	1351.6	1602.2	660	1660.8	1161.5	943.1	1250.6	1305.4	1700.6	1226.4	1157.4	1681.8	1232.6	1343.7	1291.5	1034.9	1221.7	967.6	1234.4	813.8	770.8	1169.7	1126.4	1380.3	1100.1	999.1	1001.8	795.3	1488.4	1811.2	869.3	1373.9	1223.4	1089.2	1041.3	1609.5	1240.5	871.6	890.1	1248	825.7	1319	1378.6	1000.9	808.4	1729.8	1351.7	625.4	1004.6	1068.3	1031.7	736.9	1509.5	928.3	856.2	833.8	1369.6	996.9	1053.6	902	764.6	833	1477.9	1303.1	1282.6	837.1	572.1	1008.1	1126	917	1232.1	713.1	1179.3	935	858.9	856.1	1130.9	1369.3	909.3	704.7	1321.9	1228.9	1015.3	739.2	1031.2	811.9	1540.2	1447.4	922.5	1167.6	1093.1	1004	1445.6	739.7	1154.4	1098.7	1024.2	1480.7	1450.2	1136.4	1130.2	1368.8	1411.6
"HVSMEb0014L17f_at"	189.9	337.8	494.1	351.7	144.6	212.8	93.9	186.6	331.6	210	70	105.4	371.9	109.6	278.6	89.8	235.3	92.5	235.1	112	343.7	130.4	77.7	102.2	56	76.2	126	112.2	70.1	79.9	93.3	630	268.1	204.1	124	381.9	273.9	101.6	339.7	96	110.4	181.7	303	388.2	191.1	151.7	388.9	98.4	111.8	99.6	68.7	286.8	83.7	178.8	97.3	307.2	408.4	130.1	374.9	219.6	214.5	177.7	176.4	233.9	258.9	240.7	223.4	130.7	58.9	85.9	306.7	370.6	77.3	311.4	318.2	94.7	124.1	83	120.4	107.8	321.4	372.6	43.2	99	253.3	259.3	84.7	347.3	32.3	79.5	90.8	176.4	302.9	131.1	101.9	176	52	201.4	234.1	143.8	105.2	109.7	183.7	222.8	273.2	158.5	59.8	198.8	80.5	126.9	171.9	156	204.2	112.6	55.1	276.4	131.2	214.4	73.1	174.3	90	205.4	347.9	187.9	211.3	119.4	111.3	171	118.4	114.9	156.8	147.8	65.8	445.2	492.3	118.8	280.4	416.3
"HVSMEc0007H20r2_at"	4	95	82.8	77.1	55.9	23.9	3.2	8.9	48.9	16.3	11.7	3.8	58.7	4.1	59.6	2.8	63.5	6.2	48.1	3.2	4.1	43.8	28.2	3.9	3.8	3.6	50.5	4.7	3.6	5.3	4	104.5	50.9	3.9	35.4	8.8	62.3	3.4	73.6	7.1	6	28.7	75.2	67	9.3	41.6	4.9	2.6	6.7	3.6	3.4	48.1	3.4	58.7	5.2	38.2	67.1	8.8	75.9	43.7	28.7	52	7.4	82.7	55	44.5	66	5.8	32.8	51.5	7.3	95.9	5.9	32.5	55.9	3.5	54.9	4.5	5.8	3.7	45.1	46.2	1.8	4.6	6.2	61.3	3.1	4.1	3.2	6.3	3.4	11.5	47	4.4	4.6	9.4	5	44.3	94	2.8	4.8	23.5	59.8	65.3	60.7	8.2	3.4	29.8	2.7	69.2	29.1	44.7	65.1	4.7	3.3	66.8	62.2	6.5	2.6	35.4	8.7	82.2	75.4	8.1	7.4	49.1	48.1	54.5	14.6	3.1	65.6	3.9	53.9	33.2	69.1	7.6	60.7	70.3
